Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734291,9.5514e+06,2740,9.57958e+06
1,734300,9.55141e+06,2740,9.57959e+06
2,734312,9.5514e+06,2740,9.57959e+06
3,734318,9.55141e+06,2740,9.57959e+06
4,734330,9.5514e+06,2740,9.57959e+06
5,734334,9.55141e+06,2740,9.57959e+06
6,734347,9.5514e+06,2740,9.57958e+06
7,734352,9.55141e+06,2740,9.5796e+06
8,734365,9.5514e+06,2740,9.57959e+06
9,734371,9.55141e+06,2740,9.5796e+06
10,734384,9.5514e+06,2740,9.57959e+06
11,734393,9.55141e+06,2740,9.5796e+06
12,734406,9.5514e+06,2740,9.5796e+06
13,734411,9.55141e+06,2740,9.5796e+06
14,734423,9.5514e+06,2740,9.5796e+06
15,734415,9.55139e+06,2740,9.57958e+06
16,734428,9.55138e+06,2740,9.57958e+06
17,734423,9.55138e+06,2740,9.57957e+06
18,734435,9.55137e+06,2740,9.57956e+06
19,734427,9.55136e+06,2740,9.57955e+06
20,734440,9.55135e+06,2740,9.57954e+06
21,734435,9.55134e+06,2740,9.57954e+06
22,734447,9.55133e+06,2740,9.57953e+06
23,734440,9.55132e+06,2740,9.57952e+06
24,734453,9.55131e+06,2740,9.57951e+06
25,734455,9.55132e+06,2740,9.57951e+06
26,734467,9.55131e+06,2740,9.57951e+06
27,734460,9.5513e+06,2740,9.5795e+06
28,734472,9.55129e+06,2740,9.57949e+06
29,734469,9.55128e+06,2740,9.57948e+06
30,734481,9.55128e+06,2740,9.57948e+06
31,734473,9.55126e+06,2740,9.57946e+06
32,734486,9.55126e+06,2740,9.57946e+06
33,734482,9.55125e+06,2740,9.57945e+06
34,734495,9.55124e+06,2740,9.57944e+06
35,734486,9.55123e+06,2740,9.57943e+06
36,734499,9.55122e+06,2740,9.57942e+06
37,734543,9.55129e+06,2740,9.57949e+06
38,734532,9.55129e+06,2740,9.5795e+06
39,734523,9.5513e+06,2740,9.57951e+06
40,734518,9.55131e+06,2740,9.57952e+06
41,734512,9.55133e+06,2740,9.57953e+06
42,734507,9.55134e+06,2740,9.57954e+06
43,734502,9.55135e+06,2740,9.57955e+06
44,734493,9.55136e+06,2740,9.57956e+06
45,734483,9.55138e+06,2740,9.57958e+06
46,734478,9.5514e+06,2740,9.5796e+06
47,734472,9.55142e+06,2740,9.57962e+06
48,734463,9.55145e+06,2740,9.57965e+06
49,734442,9.5515e+06,2740,9.57969e+06
50,734435,9.55151e+06,2740,9.57971e+06
51,734425,9.55152e+06,2740,9.57971e+06
52,734420,9.55152e+06,2740,9.57972e+06
53,734394,9.55153e+06,2740,9.57972e+06
54,734367,9.55153e+06,2740,9.57972e+06
55,734346,9.55153e+06,2740,9.57972e+06
56,734318,9.55153e+06,2740,9.57972e+06
57,734307,9.55153e+06,2740,9.57972e+06
58,734292,9.55152e+06,2740,9.5797e+06
59,734287,9.55151e+06,2740,9.5797e+06
60,734271,9.55148e+06,2740,9.57967e+06
61,734242,9.55144e+06,2740,9.57962e+06
62,734203,9.55139e+06,2740,9.57956e+06
63,734188,9.55137e+06,2740,9.57955e+06
64,734168,9.55135e+06,2740,9.57953e+06
65,734161,9.55134e+06,2740,9.57952e+06
66,734155,9.55134e+06,2740,9.57951e+06
67,734150,9.55133e+06,2740,9.5795e+06
68,734143,9.55131e+06,2740,9.57948e+06
69,734134,9.55129e+06,2740,9.57946e+06
70,734129,9.55128e+06,2740,9.57945e+06
71,734172,9.55125e+06,2740,9.57943e+06
72,734209,9.55131e+06,2740,9.57948e+06
73,734201,9.55131e+06,2740,9.57949e+06
74,734206,9.55132e+06,2740,9.5795e+06
75,734215,9.55131e+06,2740,9.57949e+06
76,734291,9.5514e+06,2740,9.57958e+06
77,734129,9.55128e+06,2740,9.57945e+06
80,734129,9.55128e+06,2740,9.57945e+06
81,734129,9.55128e+06,2740,9.57945e+06
82,734129,9.55128e+06,2740,9.57945e+06
85,734129,9.55128e+06,2740,9.57945e+06
86,734129,9.55128e+06,2740,9.57945e+06
87,734129,9.55128e+06,2740,9.57945e+06
88,734172,9.55125e+06,2740,9.57943e+06
90,734129,9.55128e+06,2740,9.57945e+06
91,734129,9.55128e+06,2740,9.57945e+06
92,734129,9.55128e+06,2740,9.57945e+06
94,734134,9.55129e+06,2740,9.57946e+06
95,734129,9.55128e+06,2740,9.57945e+06
96,734129,9.55128e+06,2740,9.57945e+06
97,734129,9.55128e+06,2740,9.57945e+06
98,734134,9.55129e+06,2740,9.57946e+06
99,734172,9.55125e+06,2740,9.57943e+06
100,734129,9.55128e+06,2740,9.57945e+06
101,734129,9.55128e+06,2740,9.57945e+06
113,734172,9.55125e+06,2740,9.57943e+06
124,734134,9.55129e+06,2740,9.57946e+06
132,734134,9.55129e+06,2740,9.57946e+06
135,734134,9.55129e+06,2740,9.57946e+06
136,734134,9.55129e+06,2740,9.57946e+06
137,734134,9.55129e+06,2740,9.57946e+06
139,734143,9.55131e+06,2740,9.57948e+06
140,734134,9.55129e+06,2740,9.57946e+06
141,734134,9.55129e+06,2740,9.57946e+06
142,734134,9.55129e+06,2740,9.57946e+06
143,734143,9.55131e+06,2740,9.57948e+06
144,734172,9.55125e+06,2740,9.57943e+06
145,734134,9.55129e+06,2740,9.57946e+06
146,734134,9.55129e+06,2740,9.57946e+06
154,734143,9.55131e+06,2740,9.57948e+06
167,734143,9.55131e+06,2740,9.57948e+06
170,734143,9.55131e+06,2740,9.57948e+06
171,734143,9.55131e+06,2740,9.57948e+06
172,734143,9.55131e+06,2740,9.57948e+06
174,734150,9.55133e+06,2740,9.5795e+06
175,734143,9.55131e+06,2740,9.57948e+06
176,734143,9.55131e+06,2740,9.57948e+06
177,734143,9.55131e+06,2740,9.57948e+06
178,734150,9.55133e+06,2740,9.5795e+06
179,734201,9.55131e+06,2740,9.57949e+06
180,734143,9.55131e+06,2740,9.57948e+06
181,734143,9.55131e+06,2740,9.57948e+06
182,734143,9.55131e+06,2740,9.57948e+06
183,734201,9.55131e+06,2740,9.57949e+06
184,734172,9.55125e+06,2740,9.57943e+06
185,734143,9.55131e+06,2740,9.57948e+06
186,734143,9.55131e+06,2740,9.57948e+06
194,734150,9.55133e+06,2740,9.5795e+06
202,734150,9.55133e+06,2740,9.5795e+06
205,734150,9.55133e+06,2740,9.5795e+06
206,734150,9.55133e+06,2740,9.5795e+06
207,734150,9.55133e+06,2740,9.5795e+06
209,734155,9.55134e+06,2740,9.57951e+06
210,734150,9.55133e+06,2740,9.5795e+06
211,734150,9.55133e+06,2740,9.5795e+06
212,734150,9.55133e+06,2740,9.5795e+06
213,734155,9.55134e+06,2740,9.57951e+06
214,734201,9.55131e+06,2740,9.57949e+06
215,734150,9.55133e+06,2740,9.5795e+06
216,734150,9.55133e+06,2740,9.5795e+06
224,734155,9.55134e+06,2740,9.57951e+06
232,734155,9.55134e+06,2740,9.57951e+06
235,734155,9.55134e+06,2740,9.57951e+06
236,734155,9.55134e+06,2740,9.57951e+06
237,734155,9.55134e+06,2740,9.57951e+06
239,734161,9.55134e+06,2740,9.57952e+06
240,734155,9.55134e+06,2740,9.57951e+06
241,734155,9.55134e+06,2740,9.57951e+06
242,734155,9.55134e+06,2740,9.57951e+06
243,734161,9.55134e+06,2740,9.57952e+06
244,734201,9.55131e+06,2740,9.57949e+06
245,734155,9.55134e+06,2740,9.57951e+06
246,734155,9.55134e+06,2740,9.57951e+06
259,734161,9.55134e+06,2740,9.57952e+06
272,734161,9.55134e+06,2740,9.57952e+06
275,734161,9.55134e+06,2740,9.57952e+06
276,734161,9.55134e+06,2740,9.57952e+06
277,734161,9.55134e+06,2740,9.57952e+06
279,734168,9.55135e+06,2740,9.57953e+06
280,734161,9.55134e+06,2740,9.57952e+06
281,734161,9.55134e+06,2740,9.57952e+06
282,734161,9.55134e+06,2740,9.57952e+06
