Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734264,9.55107e+06,2740,9.57925e+06
1,734265,9.55107e+06,2740,9.57925e+06
2,734252,9.55108e+06,2740,9.57926e+06
3,734252,9.55108e+06,2740,9.57926e+06
4,734240,9.55109e+06,2740,9.57927e+06
5,734240,9.55109e+06,2740,9.57927e+06
6,734227,9.5511e+06,2740,9.57928e+06
7,734227,9.5511e+06,2740,9.57928e+06
8,734215,9.5511e+06,2740,9.57928e+06
9,734222,9.55111e+06,2740,9.57929e+06
10,734209,9.55112e+06,2740,9.5793e+06
11,734216,9.55113e+06,2740,9.57931e+06
12,734204,9.55114e+06,2740,9.57932e+06
13,734207,9.55115e+06,2740,9.57932e+06
14,734195,9.55116e+06,2740,9.57933e+06
15,734204,9.55117e+06,2740,9.57935e+06
16,734192,9.55118e+06,2740,9.57935e+06
17,734197,9.55118e+06,2740,9.57936e+06
18,734184,9.55119e+06,2740,9.57937e+06
19,734191,9.5512e+06,2740,9.57938e+06
20,734178,9.55121e+06,2740,9.57939e+06
21,734185,9.55122e+06,2740,9.5794e+06
22,734172,9.55123e+06,2740,9.5794e+06
23,734179,9.55124e+06,2740,9.57941e+06
24,734167,9.55125e+06,2740,9.57942e+06
25,734172,9.55125e+06,2740,9.57943e+06
26,734129,9.55128e+06,2740,9.57945e+06
27,734119,9.55126e+06,2740,9.57943e+06
28,734116,9.55125e+06,2740,9.57942e+06
29,734117,9.55124e+06,2740,9.57941e+06
30,734133,9.55119e+06,2740,9.57936e+06
31,734147,9.55114e+06,2740,9.57931e+06
32,734154,9.55112e+06,2740,9.57929e+06
33,734164,9.55109e+06,2740,9.57927e+06
34,734177,9.55107e+06,2740,9.57925e+06
35,734195,9.55106e+06,2740,9.57923e+06
36,734238,9.55103e+06,2740,9.57921e+06
37,734320,9.55097e+06,2740,9.57916e+06
38,734348,9.55101e+06,2740,9.5792e+06
39,734298,9.55105e+06,2740,9.57923e+06
40,734290,9.55105e+06,2740,9.57924e+06
41,734289,9.55105e+06,2740,9.57924e+06
42,734277,9.55106e+06,2740,9.57925e+06
43,734276,9.55106e+06,2740,9.57924e+06
44,734264,9.55107e+06,2740,9.57925e+06
45,734116,9.55125e+06,2740,9.57942e+06
48,734116,9.55125e+06,2740,9.57942e+06
49,734116,9.55125e+06,2740,9.57942e+06
50,734116,9.55125e+06,2740,9.57942e+06
53,734116,9.55125e+06,2740,9.57942e+06
54,734116,9.55125e+06,2740,9.57942e+06
55,734116,9.55125e+06,2740,9.57942e+06
56,734117,9.55124e+06,2740,9.57941e+06
58,734116,9.55125e+06,2740,9.57942e+06
59,734116,9.55125e+06,2740,9.57942e+06
60,734116,9.55125e+06,2740,9.57942e+06
61,734167,9.55125e+06,2740,9.57942e+06
62,734117,9.55124e+06,2740,9.57941e+06
63,734116,9.55125e+06,2740,9.57942e+06
64,734116,9.55125e+06,2740,9.57942e+06
65,734116,9.55125e+06,2740,9.57942e+06
67,734119,9.55126e+06,2740,9.57943e+06
68,734116,9.55125e+06,2740,9.57942e+06
69,734116,9.55125e+06,2740,9.57942e+06
70,734116,9.55125e+06,2740,9.57942e+06
71,734119,9.55126e+06,2740,9.57943e+06
72,734167,9.55125e+06,2740,9.57942e+06
73,734116,9.55125e+06,2740,9.57942e+06
74,734116,9.55125e+06,2740,9.57942e+06
81,734117,9.55124e+06,2740,9.57941e+06
100,734117,9.55124e+06,2740,9.57941e+06
103,734117,9.55124e+06,2740,9.57941e+06
104,734117,9.55124e+06,2740,9.57941e+06
105,734117,9.55124e+06,2740,9.57941e+06
106,734133,9.55119e+06,2740,9.57936e+06
108,734117,9.55124e+06,2740,9.57941e+06
109,734117,9.55124e+06,2740,9.57941e+06
110,734117,9.55124e+06,2740,9.57941e+06
111,734172,9.55123e+06,2740,9.5794e+06
112,734133,9.55119e+06,2740,9.57936e+06
113,734117,9.55124e+06,2740,9.57941e+06
114,734117,9.55124e+06,2740,9.57941e+06
115,734117,9.55124e+06,2740,9.57941e+06
116,734167,9.55125e+06,2740,9.57942e+06
117,734172,9.55123e+06,2740,9.5794e+06
118,734117,9.55124e+06,2740,9.57941e+06
119,734117,9.55124e+06,2740,9.57941e+06
121,734133,9.55119e+06,2740,9.57936e+06
137,734119,9.55126e+06,2740,9.57943e+06
145,734119,9.55126e+06,2740,9.57943e+06
148,734119,9.55126e+06,2740,9.57943e+06
149,734119,9.55126e+06,2740,9.57943e+06
150,734119,9.55126e+06,2740,9.57943e+06
152,734129,9.55128e+06,2740,9.57945e+06
153,734119,9.55126e+06,2740,9.57943e+06
154,734119,9.55126e+06,2740,9.57943e+06
155,734119,9.55126e+06,2740,9.57943e+06
156,734129,9.55128e+06,2740,9.57945e+06
157,734167,9.55125e+06,2740,9.57942e+06
158,734119,9.55126e+06,2740,9.57943e+06
159,734119,9.55126e+06,2740,9.57943e+06
172,734129,9.55128e+06,2740,9.57945e+06
185,734129,9.55128e+06,2740,9.57945e+06
188,734129,9.55128e+06,2740,9.57945e+06
189,734129,9.55128e+06,2740,9.57945e+06
190,734129,9.55128e+06,2740,9.57945e+06
191,734172,9.55125e+06,2740,9.57943e+06
192,734167,9.55125e+06,2740,9.57942e+06
193,734129,9.55128e+06,2740,9.57945e+06
194,734129,9.55128e+06,2740,9.57945e+06
195,734129,9.55128e+06,2740,9.57945e+06
197,734172,9.55125e+06,2740,9.57943e+06
198,734129,9.55128e+06,2740,9.57945e+06
199,734129,9.55128e+06,2740,9.57945e+06
200,734133,9.55119e+06,2740,9.57936e+06
203,734133,9.55119e+06,2740,9.57936e+06
204,734133,9.55119e+06,2740,9.57936e+06
205,734133,9.55119e+06,2740,9.57936e+06
206,734147,9.55114e+06,2740,9.57931e+06
