Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734655,9.55079e+06,2740,9.57901e+06
1,734349,9.55101e+06,2740,9.5792e+06
2,734320,9.55097e+06,2740,9.57916e+06
3,734396,9.55092e+06,2740,9.57911e+06
4,734473,9.55086e+06,2740,9.57906e+06
5,734549,9.55081e+06,2740,9.57901e+06
6,734587,9.55078e+06,2740,9.57899e+06
7,734629,9.55075e+06,2740,9.57897e+06
8,734655,9.55079e+06,2740,9.57901e+06
9,734320,9.55097e+06,2740,9.57916e+06
12,734320,9.55097e+06,2740,9.57916e+06
13,734320,9.55097e+06,2740,9.57916e+06
14,734320,9.55097e+06,2740,9.57916e+06
17,734320,9.55097e+06,2740,9.57916e+06
18,734320,9.55097e+06,2740,9.57916e+06
19,734320,9.55097e+06,2740,9.57916e+06
20,734396,9.55092e+06,2740,9.57911e+06
22,734320,9.55097e+06,2740,9.57916e+06
23,734320,9.55097e+06,2740,9.57916e+06
24,734320,9.55097e+06,2740,9.57916e+06
26,734349,9.55101e+06,2740,9.5792e+06
27,734320,9.55097e+06,2740,9.57916e+06
28,734320,9.55097e+06,2740,9.57916e+06
29,734320,9.55097e+06,2740,9.57916e+06
30,734349,9.55101e+06,2740,9.5792e+06
31,734396,9.55092e+06,2740,9.57911e+06
32,734320,9.55097e+06,2740,9.57916e+06
33,734320,9.55097e+06,2740,9.57916e+06
45,734396,9.55092e+06,2740,9.57911e+06
51,734349,9.55101e+06,2740,9.5792e+06
59,734349,9.55101e+06,2740,9.5792e+06
62,734349,9.55101e+06,2740,9.5792e+06
63,734349,9.55101e+06,2740,9.5792e+06
64,734349,9.55101e+06,2740,9.5792e+06
65,734473,9.55086e+06,2740,9.57906e+06
66,734396,9.55092e+06,2740,9.57911e+06
67,734349,9.55101e+06,2740,9.5792e+06
68,734349,9.55101e+06,2740,9.5792e+06
69,734349,9.55101e+06,2740,9.5792e+06
70,734655,9.55079e+06,2740,9.57901e+06
71,734473,9.55086e+06,2740,9.57906e+06
72,734349,9.55101e+06,2740,9.5792e+06
73,734349,9.55101e+06,2740,9.5792e+06
74,734349,9.55101e+06,2740,9.5792e+06
77,734349,9.55101e+06,2740,9.5792e+06
78,734349,9.55101e+06,2740,9.5792e+06
79,734349,9.55101e+06,2740,9.5792e+06
81,734655,9.55079e+06,2740,9.57901e+06
82,734349,9.55101e+06,2740,9.5792e+06
83,734349,9.55101e+06,2740,9.5792e+06
94,734396,9.55092e+06,2740,9.57911e+06
97,734396,9.55092e+06,2740,9.57911e+06
98,734396,9.55092e+06,2740,9.57911e+06
99,734396,9.55092e+06,2740,9.57911e+06
100,734473,9.55086e+06,2740,9.57906e+06
102,734396,9.55092e+06,2740,9.57911e+06
103,734396,9.55092e+06,2740,9.57911e+06
105,734473,9.55086e+06,2740,9.57906e+06
115,734473,9.55086e+06,2740,9.57906e+06
124,734473,9.55086e+06,2740,9.57906e+06
127,734473,9.55086e+06,2740,9.57906e+06
128,734473,9.55086e+06,2740,9.57906e+06
129,734473,9.55086e+06,2740,9.57906e+06
130,734549,9.55081e+06,2740,9.57901e+06
132,734473,9.55086e+06,2740,9.57906e+06
133,734473,9.55086e+06,2740,9.57906e+06
134,734473,9.55086e+06,2740,9.57906e+06
135,734655,9.55079e+06,2740,9.57901e+06
136,734549,9.55081e+06,2740,9.57901e+06
137,734473,9.55086e+06,2740,9.57906e+06
138,734473,9.55086e+06,2740,9.57906e+06
150,734549,9.55081e+06,2740,9.57901e+06
164,734549,9.55081e+06,2740,9.57901e+06
167,734549,9.55081e+06,2740,9.57901e+06
168,734549,9.55081e+06,2740,9.57901e+06
169,734549,9.55081e+06,2740,9.57901e+06
170,734587,9.55078e+06,2740,9.57899e+06
172,734549,9.55081e+06,2740,9.57901e+06
173,734549,9.55081e+06,2740,9.57901e+06
174,734549,9.55081e+06,2740,9.57901e+06
175,734655,9.55079e+06,2740,9.57901e+06
176,734587,9.55078e+06,2740,9.57899e+06
177,734549,9.55081e+06,2740,9.57901e+06
178,734549,9.55081e+06,2740,9.57901e+06
180,734587,9.55078e+06,2740,9.57899e+06
189,734587,9.55078e+06,2740,9.57899e+06
192,734587,9.55078e+06,2740,9.57899e+06
193,734587,9.55078e+06,2740,9.57899e+06
194,734587,9.55078e+06,2740,9.57899e+06
195,734629,9.55075e+06,2740,9.57897e+06
197,734587,9.55078e+06,2740,9.57899e+06
198,734587,9.55078e+06,2740,9.57899e+06
199,734587,9.55078e+06,2740,9.57899e+06
200,734655,9.55079e+06,2740,9.57901e+06
201,734629,9.55075e+06,2740,9.57897e+06
202,734587,9.55078e+06,2740,9.57899e+06
203,734587,9.55078e+06,2740,9.57899e+06
210,734629,9.55075e+06,2740,9.57897e+06
219,734629,9.55075e+06,2740,9.57897e+06
222,734629,9.55075e+06,2740,9.57897e+06
223,734629,9.55075e+06,2740,9.57897e+06
224,734629,9.55075e+06,2740,9.57897e+06
225,734655,9.55079e+06,2740,9.57901e+06
227,734629,9.55075e+06,2740,9.57897e+06
228,734629,9.55075e+06,2740,9.57897e+06
241,734655,9.55079e+06,2740,9.57901e+06
245,734655,9.55079e+06,2740,9.57901e+06
10,734320,9.55097e+06,2940,9.57916e+06
11,734320,9.55097e+06,2940,9.57916e+06
15,734320,9.55097e+06,2940,9.57916e+06
16,734349,9.55101e+06,2940,9.5792e+06
21,734320,9.55097e+06,2940,9.57916e+06
25,734349,9.55101e+06,2940,9.5792e+06
34,734320,9.55097e+06,2940,9.57916e+06
35,734320,9.55097e+06,2940,9.57916e+06
36,734349,9.55101e+06,2940,9.5792e+06
37,734320,9.55097e+06,2940,9.57916e+06
38,734320,9.55097e+06,2940,9.57916e+06
39,734320,9.55097e+06,2940,9.57916e+06
40,734396,9.55092e+06,2940,9.57911e+06
41,734349,9.55101e+06,2940,9.5792e+06
42,734320,9.55097e+06,2940,9.57916e+06
43,734320,9.55097e+06,2940,9.57916e+06
44,734320,9.55097e+06,2940,9.57916e+06
46,734396,9.55092e+06,2940,9.57911e+06
47,734320,9.55097e+06,2940,9.57916e+06
48,734320,9.55097e+06,2940,9.57916e+06
49,734349,9.55101e+06,2940,9.5792e+06
50,734349,9.55101e+06,2940,9.5792e+06
52,734349,9.55101e+06,2940,9.5792e+06
53,734349,9.55101e+06,2940,9.5792e+06
54,734349,9.55101e+06,2940,9.5792e+06
55,734396,9.55092e+06,2940,9.57911e+06
56,734349,9.55101e+06,2940,9.5792e+06
57,734349,9.55101e+06,2940,9.5792e+06
58,734349,9.55101e+06,2940,9.5792e+06
60,734349,9.55101e+06,2940,9.5792e+06
61,734507,9.5509e+06,2940,9.5791e+06
75,734507,9.5509e+06,2940,9.5791e+06
76,734654,9.55079e+06,2940,9.57901e+06
80,734654,9.55079e+06,2940,9.57901e+06
84,734349,9.55101e+06,2940,9.5792e+06
85,734396,9.55092e+06,2940,9.57911e+06
86,734397,9.55092e+06,2940,9.57911e+06
87,734349,9.55101e+06,2940,9.5792e+06
88,734349,9.55101e+06,2940,9.5792e+06
89,734349,9.55101e+06,2940,9.5792e+06
90,734397,9.55092e+06,2940,9.57911e+06
91,734507,9.5509e+06,2940,9.5791e+06
92,734349,9.55101e+06,2940,9.5792e+06
93,734349,9.55101e+06,2940,9.5792e+06
95,734397,9.55092e+06,2940,9.57911e+06
96,734396,9.55092e+06,2940,9.57911e+06
101,734397,9.55092e+06,2940,9.57911e+06
104,734397,9.55092e+06,2940,9.57911e+06
106,734466,9.55087e+06,2940,9.57907e+06
107,734397,9.55092e+06,2940,9.57911e+06
108,734397,9.55092e+06,2940,9.57911e+06
109,734397,9.55092e+06,2940,9.57911e+06
110,734466,9.55087e+06,2940,9.57907e+06
111,734507,9.5509e+06,2940,9.5791e+06
112,734397,9.55092e+06,2940,9.57911e+06
113,734397,9.55092e+06,2940,9.57911e+06
114,734466,9.55087e+06,2940,9.57907e+06
116,734473,9.55086e+06,2940,9.57906e+06
117,734466,9.55087e+06,2940,9.57907e+06
118,734466,9.55087e+06,2940,9.57907e+06
119,734466,9.55087e+06,2940,9.57907e+06
120,734473,9.55086e+06,2940,9.57906e+06
121,734507,9.5509e+06,2940,9.5791e+06
