Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734629,9.55075e+06,2740,9.57897e+06
1,734646,9.55074e+06,2740,9.57896e+06
2,734663,9.55074e+06,2740,9.57895e+06
3,734681,9.55074e+06,2740,9.57896e+06
4,734697,9.55075e+06,2740,9.57897e+06
5,734710,9.55077e+06,2740,9.57899e+06
6,734719,9.55078e+06,2740,9.579e+06
7,734734,9.55082e+06,2740,9.57904e+06
8,734779,9.55088e+06,2740,9.5791e+06
9,734825,9.55094e+06,2740,9.57917e+06
10,734783,9.55097e+06,2740,9.5792e+06
11,734660,9.5508e+06,2740,9.57901e+06
12,734666,9.55079e+06,2740,9.57901e+06
13,734662,9.55079e+06,2740,9.579e+06
14,734655,9.55079e+06,2740,9.57901e+06
15,734629,9.55075e+06,2740,9.57897e+06
16,734629,9.55075e+06,2740,9.57897e+06
19,734629,9.55075e+06,2740,9.57897e+06
20,734629,9.55075e+06,2740,9.57897e+06
21,734629,9.55075e+06,2740,9.57897e+06
24,734629,9.55075e+06,2740,9.57897e+06
25,734629,9.55075e+06,2740,9.57897e+06
26,734629,9.55075e+06,2740,9.57897e+06
27,734646,9.55074e+06,2740,9.57896e+06
29,734629,9.55075e+06,2740,9.57897e+06
30,734629,9.55075e+06,2740,9.57897e+06
31,734629,9.55075e+06,2740,9.57897e+06
33,734655,9.55079e+06,2740,9.57901e+06
34,734629,9.55075e+06,2740,9.57897e+06
35,734629,9.55075e+06,2740,9.57897e+06
36,734629,9.55075e+06,2740,9.57897e+06
37,734662,9.55079e+06,2740,9.579e+06
38,734646,9.55074e+06,2740,9.57896e+06
39,734629,9.55075e+06,2740,9.57897e+06
40,734629,9.55075e+06,2740,9.57897e+06
41,734629,9.55075e+06,2740,9.57897e+06
42,734655,9.55079e+06,2740,9.57901e+06
43,734662,9.55079e+06,2740,9.579e+06
44,734629,9.55075e+06,2740,9.57897e+06
45,734629,9.55075e+06,2740,9.57897e+06
57,734646,9.55074e+06,2740,9.57896e+06
68,734655,9.55079e+06,2740,9.57901e+06
77,734646,9.55074e+06,2740,9.57896e+06
136,734646,9.55074e+06,2740,9.57896e+06
139,734646,9.55074e+06,2740,9.57896e+06
140,734646,9.55074e+06,2740,9.57896e+06
141,734646,9.55074e+06,2740,9.57896e+06
142,734663,9.55074e+06,2740,9.57895e+06
144,734646,9.55074e+06,2740,9.57896e+06
145,734646,9.55074e+06,2740,9.57896e+06
146,734646,9.55074e+06,2740,9.57896e+06
147,734662,9.55079e+06,2740,9.579e+06
148,734663,9.55074e+06,2740,9.57895e+06
149,734646,9.55074e+06,2740,9.57896e+06
150,734646,9.55074e+06,2740,9.57896e+06
152,734663,9.55074e+06,2740,9.57895e+06
171,734655,9.55079e+06,2740,9.57901e+06
174,734655,9.55079e+06,2740,9.57901e+06
175,734655,9.55079e+06,2740,9.57901e+06
176,734655,9.55079e+06,2740,9.57901e+06
178,734662,9.55079e+06,2740,9.579e+06
179,734655,9.55079e+06,2740,9.57901e+06
180,734655,9.55079e+06,2740,9.57901e+06
181,734660,9.5508e+06,2740,9.57901e+06
184,734660,9.5508e+06,2740,9.57901e+06
185,734660,9.5508e+06,2740,9.57901e+06
186,734660,9.5508e+06,2740,9.57901e+06
189,734660,9.5508e+06,2740,9.57901e+06
190,734660,9.5508e+06,2740,9.57901e+06
191,734660,9.5508e+06,2740,9.57901e+06
192,734666,9.55079e+06,2740,9.57901e+06
194,734660,9.5508e+06,2740,9.57901e+06
195,734660,9.5508e+06,2740,9.57901e+06
196,734660,9.5508e+06,2740,9.57901e+06
197,734734,9.55082e+06,2740,9.57904e+06
198,734666,9.55079e+06,2740,9.57901e+06
199,734660,9.5508e+06,2740,9.57901e+06
200,734660,9.5508e+06,2740,9.57901e+06
201,734660,9.5508e+06,2740,9.57901e+06
202,734779,9.55088e+06,2740,9.5791e+06
203,734734,9.55082e+06,2740,9.57904e+06
204,734660,9.5508e+06,2740,9.57901e+06
205,734660,9.5508e+06,2740,9.57901e+06
206,734660,9.5508e+06,2740,9.57901e+06
207,734783,9.55097e+06,2740,9.5792e+06
208,734779,9.55088e+06,2740,9.5791e+06
209,734660,9.5508e+06,2740,9.57901e+06
210,734660,9.5508e+06,2740,9.57901e+06
211,734660,9.5508e+06,2740,9.57901e+06
213,734783,9.55097e+06,2740,9.5792e+06
214,734660,9.5508e+06,2740,9.57901e+06
215,734660,9.5508e+06,2740,9.57901e+06
222,734666,9.55079e+06,2740,9.57901e+06
233,734662,9.55079e+06,2740,9.579e+06
236,734662,9.55079e+06,2740,9.579e+06
239,734662,9.55079e+06,2740,9.579e+06
240,734662,9.55079e+06,2740,9.579e+06
241,734662,9.55079e+06,2740,9.579e+06
242,734681,9.55074e+06,2740,9.57896e+06
243,734663,9.55074e+06,2740,9.57895e+06
244,734662,9.55079e+06,2740,9.579e+06
245,734662,9.55079e+06,2740,9.579e+06
246,734662,9.55079e+06,2740,9.579e+06
248,734666,9.55079e+06,2740,9.57901e+06
249,734662,9.55079e+06,2740,9.579e+06
250,734662,9.55079e+06,2740,9.579e+06
251,734662,9.55079e+06,2740,9.579e+06
252,734666,9.55079e+06,2740,9.57901e+06
253,734710,9.55077e+06,2740,9.57899e+06
254,734662,9.55079e+06,2740,9.579e+06
255,734662,9.55079e+06,2740,9.579e+06
256,734662,9.55079e+06,2740,9.579e+06
257,734697,9.55075e+06,2740,9.57897e+06
258,734681,9.55074e+06,2740,9.57896e+06
259,734662,9.55079e+06,2740,9.579e+06
260,734662,9.55079e+06,2740,9.579e+06
261,734662,9.55079e+06,2740,9.579e+06
262,734710,9.55077e+06,2740,9.57899e+06
263,734697,9.55075e+06,2740,9.57897e+06
264,734662,9.55079e+06,2740,9.579e+06
265,734662,9.55079e+06,2740,9.579e+06
271,734663,9.55074e+06,2740,9.57895e+06
274,734663,9.55074e+06,2740,9.57895e+06
275,734663,9.55074e+06,2740,9.57895e+06
276,734663,9.55074e+06,2740,9.57895e+06
277,734681,9.55074e+06,2740,9.57896e+06
279,734663,9.55074e+06,2740,9.57895e+06
280,734663,9.55074e+06,2740,9.57895e+06
282,734681,9.55074e+06,2740,9.57896e+06
293,734666,9.55079e+06,2740,9.57901e+06
301,734666,9.55079e+06,2740,9.57901e+06
302,734719,9.55078e+06,2740,9.579e+06
303,734710,9.55077e+06,2740,9.57899e+06
304,734666,9.55079e+06,2740,9.57901e+06
305,734666,9.55079e+06,2740,9.57901e+06
306,734666,9.55079e+06,2740,9.57901e+06
307,734734,9.55082e+06,2740,9.57904e+06
308,734719,9.55078e+06,2740,9.579e+06
309,734666,9.55079e+06,2740,9.57901e+06
310,734666,9.55079e+06,2740,9.57901e+06
316,734681,9.55074e+06,2740,9.57896e+06
319,734681,9.55074e+06,2740,9.57896e+06
320,734681,9.55074e+06,2740,9.57896e+06
321,734681,9.55074e+06,2740,9.57896e+06
322,734697,9.55075e+06,2740,9.57897e+06
324,734681,9.55074e+06,2740,9.57896e+06
325,734681,9.55074e+06,2740,9.57896e+06
327,734697,9.55075e+06,2740,9.57897e+06
336,734697,9.55075e+06,2740,9.57897e+06
339,734697,9.55075e+06,2740,9.57897e+06
340,734697,9.55075e+06,2740,9.57897e+06
341,734697,9.55075e+06,2740,9.57897e+06
342,734710,9.55077e+06,2740,9.57899e+06
344,734697,9.55075e+06,2740,9.57897e+06
345,734697,9.55075e+06,2740,9.57897e+06
347,734710,9.55077e+06,2740,9.57899e+06
356,734710,9.55077e+06,2740,9.57899e+06
359,734710,9.55077e+06,2740,9.57899e+06
360,734710,9.55077e+06,2740,9.57899e+06
361,734710,9.55077e+06,2740,9.57899e+06
362,734719,9.55078e+06,2740,9.579e+06
364,734710,9.55077e+06,2740,9.57899e+06
365,734710,9.55077e+06,2740,9.57899e+06
367,734719,9.55078e+06,2740,9.579e+06
371,734719,9.55078e+06,2740,9.579e+06
374,734719,9.55078e+06,2740,9.579e+06
375,734719,9.55078e+06,2740,9.579e+06
376,734719,9.55078e+06,2740,9.579e+06
377,734734,9.55082e+06,2740,9.57904e+06
379,734719,9.55078e+06,2740,9.579e+06
380,734719,9.55078e+06,2740,9.579e+06
382,734734,9.55082e+06,2740,9.57904e+06
386,734734,9.55082e+06,2740,9.57904e+06
389,734734,9.55082e+06,2740,9.57904e+06
390,734734,9.55082e+06,2740,9.57904e+06
391,734734,9.55082e+06,2740,9.57904e+06
392,734779,9.55088e+06,2740,9.5791e+06
394,734734,9.55082e+06,2740,9.57904e+06
395,734734,9.55082e+06,2740,9.57904e+06
397,734779,9.55088e+06,2740,9.5791e+06
401,734779,9.55088e+06,2740,9.5791e+06
404,734779,9.55088e+06,2740,9.5791e+06
405,734779,9.55088e+06,2740,9.5791e+06
406,734779,9.55088e+06,2740,9.5791e+06
407,734825,9.55094e+06,2740,9.57917e+06
409,734779,9.55088e+06,2740,9.5791e+06
410,734779,9.55088e+06,2740,9.5791e+06
411,734779,9.55088e+06,2740,9.5791e+06
412,734783,9.55097e+06,2740,9.5792e+06
413,734825,9.55094e+06,2740,9.57917e+06
414,734779,9.55088e+06,2740,9.5791e+06
415,734779,9.55088e+06,2740,9.5791e+06
432,734825,9.55094e+06,2740,9.57917e+06
438,734783,9.55097e+06,2740,9.5792e+06
446,734783,9.55097e+06,2740,9.5792e+06
449,734783,9.55097e+06,2740,9.5792e+06
450,734783,9.55097e+06,2740,9.5792e+06
451,734783,9.55097e+06,2740,9.5792e+06
454,734783,9.55097e+06,2740,9.5792e+06
455,734783,9.55097e+06,2740,9.5792e+06
456,734783,9.55097e+06,2740,9.5792e+06
458,734825,9.55094e+06,2740,9.57917e+06
459,734783,9.55097e+06,2740,9.5792e+06
460,734783,9.55097e+06,2740,9.5792e+06
463,734825,9.55094e+06,2740,9.57917e+06
17,734629,9.55075e+06,2940,9.57897e+06
18,734629,9.55075e+06,2940,9.57897e+06
22,734629,9.55075e+06,2940,9.57897e+06
23,734629,9.55075e+06,2940,9.57897e+06
28,734629,9.55075e+06,2940,9.57897e+06
32,734629,9.55075e+06,2940,9.57897e+06
46,734629,9.55075e+06,2940,9.57897e+06
47,734629,9.55075e+06,2940,9.57897e+06
48,734629,9.55075e+06,2940,9.57897e+06
49,734629,9.55075e+06,2940,9.57897e+06
50,734629,9.55075e+06,2940,9.57897e+06
51,734629,9.55075e+06,2940,9.57897e+06
52,734637,9.55075e+06,2940,9.57896e+06
53,734629,9.55075e+06,2940,9.57897e+06
