Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734825,9.55094e+06,2740,9.57917e+06
1,734828,9.55095e+06,2740,9.57918e+06
2,734829,9.55095e+06,2740,9.57918e+06
3,734830,9.55096e+06,2740,9.57918e+06
4,734831,9.55096e+06,2740,9.57919e+06
5,734831,9.55097e+06,2740,9.57919e+06
6,734832,9.55097e+06,2740,9.5792e+06
7,734832,9.55098e+06,2740,9.5792e+06
8,734883,9.55105e+06,2740,9.57928e+06
9,734867,9.55106e+06,2740,9.57929e+06
10,734935,9.55116e+06,2740,9.57939e+06
11,734894,9.55118e+06,2740,9.57942e+06
12,734826,9.55109e+06,2740,9.57931e+06
13,734629,9.55122e+06,2740,9.57944e+06
14,734588,9.55125e+06,2740,9.57946e+06
15,734542,9.55129e+06,2740,9.57949e+06
16,734498,9.55122e+06,2740,9.57942e+06
17,734498,9.55122e+06,2740,9.57942e+06
18,734510,9.55121e+06,2740,9.57941e+06
19,734511,9.55121e+06,2740,9.57942e+06
20,734523,9.5512e+06,2740,9.57941e+06
21,734522,9.5512e+06,2740,9.57941e+06
22,734535,9.5512e+06,2740,9.5794e+06
23,734535,9.5512e+06,2740,9.5794e+06
24,734548,9.55119e+06,2740,9.57939e+06
25,734547,9.55119e+06,2740,9.57939e+06
26,734559,9.55118e+06,2740,9.57938e+06
27,734560,9.55118e+06,2740,9.57938e+06
28,734572,9.55117e+06,2740,9.57938e+06
29,734572,9.55117e+06,2740,9.57938e+06
30,734584,9.55116e+06,2740,9.57937e+06
31,734585,9.55116e+06,2740,9.57937e+06
32,734597,9.55115e+06,2740,9.57936e+06
33,734596,9.55115e+06,2740,9.57936e+06
34,734609,9.55114e+06,2740,9.57935e+06
35,734609,9.55114e+06,2740,9.57935e+06
36,734622,9.55114e+06,2740,9.57935e+06
37,734621,9.55114e+06,2740,9.57935e+06
38,734633,9.55113e+06,2740,9.57934e+06
39,734634,9.55113e+06,2740,9.57934e+06
40,734646,9.55112e+06,2740,9.57933e+06
41,734646,9.55112e+06,2740,9.57933e+06
42,734658,9.55111e+06,2740,9.57932e+06
43,734659,9.55111e+06,2740,9.57932e+06
44,734671,9.5511e+06,2740,9.57932e+06
45,734670,9.5511e+06,2740,9.57932e+06
46,734682,9.55109e+06,2740,9.57931e+06
47,734683,9.55109e+06,2740,9.57931e+06
48,734696,9.55108e+06,2740,9.5793e+06
49,734695,9.55108e+06,2740,9.5793e+06
50,734707,9.55108e+06,2740,9.57929e+06
51,734708,9.55108e+06,2740,9.57929e+06
52,734720,9.55107e+06,2740,9.57929e+06
53,734720,9.55107e+06,2740,9.57928e+06
54,734732,9.55106e+06,2740,9.57928e+06
55,734732,9.55106e+06,2740,9.57928e+06
56,734744,9.55105e+06,2740,9.57927e+06
57,734744,9.55105e+06,2740,9.57927e+06
58,734756,9.55104e+06,2740,9.57926e+06
59,734748,9.55103e+06,2740,9.57925e+06
60,734760,9.55102e+06,2740,9.57924e+06
61,734760,9.55102e+06,2740,9.57924e+06
62,734772,9.55101e+06,2740,9.57923e+06
63,734758,9.55099e+06,2740,9.57921e+06
64,734770,9.55098e+06,2740,9.5792e+06
65,734770,9.55098e+06,2740,9.5792e+06
66,734783,9.55097e+06,2740,9.5792e+06
67,734825,9.55094e+06,2740,9.57917e+06
68,734498,9.55122e+06,2740,9.57942e+06
71,734498,9.55122e+06,2740,9.57942e+06
72,734498,9.55122e+06,2740,9.57942e+06
73,734498,9.55122e+06,2740,9.57942e+06
