Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734588,9.55125e+06,2740,9.57946e+06
1,734601,9.55128e+06,2740,9.57948e+06
2,734601,9.5513e+06,2740,9.57951e+06
3,734600,9.55131e+06,2740,9.57952e+06
4,734602,9.55132e+06,2740,9.57953e+06
5,734604,9.55134e+06,2740,9.57954e+06
6,734602,9.55135e+06,2740,9.57956e+06
7,734593,9.55137e+06,2740,9.57958e+06
8,734587,9.5514e+06,2740,9.5796e+06
9,734594,9.55142e+06,2740,9.57963e+06
10,734610,9.55144e+06,2740,9.57965e+06
11,734620,9.55145e+06,2740,9.57966e+06
12,734631,9.55145e+06,2740,9.57966e+06
13,734682,9.55145e+06,2740,9.57966e+06
14,734692,9.55145e+06,2740,9.57967e+06
15,734701,9.55146e+06,2740,9.57968e+06
16,734712,9.55147e+06,2740,9.57968e+06
17,734724,9.55147e+06,2740,9.57969e+06
18,734748,9.55147e+06,2740,9.57969e+06
19,734798,9.55147e+06,2740,9.57969e+06
20,734770,9.55143e+06,2740,9.57965e+06
21,734754,9.5514e+06,2740,9.57962e+06
22,734742,9.55141e+06,2740,9.57963e+06
23,734729,9.55142e+06,2740,9.57964e+06
24,734699,9.55138e+06,2740,9.57959e+06
25,734691,9.55137e+06,2740,9.57958e+06
26,734644,9.5514e+06,2740,9.57961e+06
27,734638,9.55139e+06,2740,9.5796e+06
28,734685,9.55136e+06,2740,9.57957e+06
29,734649,9.55131e+06,2740,9.57952e+06
30,734661,9.5513e+06,2740,9.57951e+06
31,734657,9.55129e+06,2740,9.5795e+06
32,734669,9.55128e+06,2740,9.5795e+06
33,734629,9.55122e+06,2740,9.57944e+06
34,734588,9.55125e+06,2740,9.57946e+06
35,734587,9.5514e+06,2740,9.5796e+06
38,734587,9.5514e+06,2740,9.5796e+06
39,734587,9.5514e+06,2740,9.5796e+06
40,734587,9.5514e+06,2740,9.5796e+06
43,734587,9.5514e+06,2740,9.5796e+06
44,734587,9.5514e+06,2740,9.5796e+06
45,734587,9.5514e+06,2740,9.5796e+06
47,734594,9.55142e+06,2740,9.57963e+06
48,734587,9.5514e+06,2740,9.5796e+06
49,734587,9.5514e+06,2740,9.5796e+06
50,734587,9.5514e+06,2740,9.5796e+06
51,734593,9.55137e+06,2740,9.57958e+06
53,734587,9.5514e+06,2740,9.5796e+06
54,734587,9.5514e+06,2740,9.5796e+06
55,734587,9.5514e+06,2740,9.5796e+06
56,734638,9.55139e+06,2740,9.5796e+06
57,734593,9.55137e+06,2740,9.57958e+06
58,734587,9.5514e+06,2740,9.5796e+06
