Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,734770,9.55143e+06,2740,9.57965e+06
1,734782,9.55142e+06,2740,9.57964e+06
2,734783,9.55142e+06,2740,9.57964e+06
3,734795,9.55141e+06,2740,9.57963e+06
4,734794,9.55141e+06,2740,9.57963e+06
5,734807,9.5514e+06,2740,9.57962e+06
6,734807,9.5514e+06,2740,9.57963e+06
7,734819,9.55139e+06,2740,9.57962e+06
8,734819,9.55139e+06,2740,9.57962e+06
9,734831,9.55138e+06,2740,9.57961e+06
10,734831,9.55138e+06,2740,9.57961e+06
11,734844,9.55138e+06,2740,9.5796e+06
12,734845,9.55138e+06,2740,9.5796e+06
13,734857,9.55137e+06,2740,9.5796e+06
14,734855,9.55136e+06,2740,9.57959e+06
15,734867,9.55136e+06,2740,9.57958e+06
16,734868,9.55136e+06,2740,9.57959e+06
17,734881,9.55135e+06,2740,9.57958e+06
18,734880,9.55135e+06,2740,9.57958e+06
19,734892,9.55134e+06,2740,9.57957e+06
20,734892,9.55134e+06,2740,9.57957e+06
21,734904,9.55133e+06,2740,9.57956e+06
22,734904,9.55133e+06,2740,9.57956e+06
23,734917,9.55132e+06,2740,9.57955e+06
24,734917,9.55132e+06,2740,9.57956e+06
25,734929,9.55131e+06,2740,9.57955e+06
26,734929,9.55131e+06,2740,9.57955e+06
27,734940,9.55131e+06,2740,9.57954e+06
28,734929,9.55129e+06,2740,9.57952e+06
29,734941,9.55128e+06,2740,9.57951e+06
30,734940,9.55128e+06,2740,9.57951e+06
31,734953,9.55127e+06,2740,9.5795e+06
32,734894,9.55118e+06,2740,9.57942e+06
33,734935,9.55116e+06,2740,9.57939e+06
34,734996,9.55124e+06,2740,9.57948e+06
35,735003,9.55127e+06,2740,9.57951e+06
36,735001,9.55128e+06,2740,9.57952e+06
37,734995,9.5513e+06,2740,9.57953e+06
38,734982,9.55132e+06,2740,9.57956e+06
39,734972,9.55134e+06,2740,9.57958e+06
40,734955,9.55136e+06,2740,9.5796e+06
41,734931,9.55138e+06,2740,9.57961e+06
42,734907,9.55139e+06,2740,9.57962e+06
43,734887,9.55141e+06,2740,9.57964e+06
44,734843,9.55144e+06,2740,9.57966e+06
45,734822,9.55146e+06,2740,9.57968e+06
46,734798,9.55147e+06,2740,9.57969e+06
47,734770,9.55143e+06,2740,9.57965e+06
48,734770,9.55143e+06,2740,9.57965e+06
51,734770,9.55143e+06,2740,9.57965e+06
52,734770,9.55143e+06,2740,9.57965e+06
53,734770,9.55143e+06,2740,9.57965e+06
56,734770,9.55143e+06,2740,9.57965e+06
57,734770,9.55143e+06,2740,9.57965e+06
58,734770,9.55143e+06,2740,9.57965e+06
60,734770,9.55143e+06,2740,9.57965e+06
61,734770,9.55143e+06,2740,9.57965e+06
62,734770,9.55143e+06,2740,9.57965e+06
63,734770,9.55143e+06,2740,9.57965e+06
64,734782,9.55142e+06,2740,9.57964e+06
66,734770,9.55143e+06,2740,9.57965e+06
67,734770,9.55143e+06,2740,9.57965e+06
68,734770,9.55143e+06,2740,9.57965e+06
69,734770,9.55143e+06,2740,9.57965e+06
70,734782,9.55142e+06,2740,9.57964e+06
71,734770,9.55143e+06,2740,9.57965e+06
72,734770,9.55143e+06,2740,9.57965e+06
85,734770,9.55143e+06,2740,9.57965e+06
94,734782,9.55142e+06,2740,9.57964e+06
98,734770,9.55143e+06,2740,9.57965e+06
